timestamp,platform_a,error_x,platform_c,platform_b,error_y,platform_y,platform_x,error_delta_x,error_delta_y,mode,error_sum_y,error_sum_x,active,ball_x,ball_y,target_y,target_x
2200,120,-115,-95,-26,21,120,-40,1,2,72,-3867,-8946,1,1411,2987,3008,1296
2207,160,-115,-150,-11,23,160,-80,0,2,72,-3844,-9061,1,1411,2985,3008,1296
2217,220,-115,-249,28,23,220,-160,0,2,72,-3821,-9176,1,1411,2985,3008,1296
2229,260,-115,-321,60,23,260,-220,0,2,72,-3798,-9291,1,1411,2985,3008,1296
2241,300,-115,-376,75,25,300,-260,0,4,72,-3773,-9406,1,1411,2983,3008,1296
2251,340,-115,-448,107,25,340,-320,0,4,72,-3748,-9521,1,1411,2983,3008,1296
2259,380,-115,-502,121,25,380,-360,0,2,72,-3723,-9636,1,1411,2983,3008,1296
2267,420,-115,-574,153,25,420,-420,0,2,72,-3698,-9751,1,1411,2983,3008,1296
2277,420,-116,-592,171,27,420,-440,-1,4,72,-3671,-9867,1,1412,2981,3008,1296
2289,440,-116,-619,178,27,440,-460,-1,2,72,-3644,-9983,1,1412,2981,3008,1296
2301,440,-116,-636,195,27,440,-480,-1,2,72,-3617,-10099,1,1412,2981,3008,1296
2311,440,-117,-636,195,29,440,-480,-2,4,72,-3588,-10216,1,1413,2979,3008,1296
2319,440,-117,-636,195,29,440,-480,-2,4,72,-3559,-10333,1,1413,2979,3008,1296
2327,440,-117,-602,161,29,440,-440,-1,2,72,-3530,-10450,1,1413,2979,3008,1296
2337,420,-117,-574,153,29,420,-420,-1,2,72,-3501,-10567,1,1413,2979,3008,1296
2349,400,-119,-530,129,30,400,-380,-3,3,72,-3471,-10686,1,1415,2978,3008,1296
2361,360,-119,-475,114,30,360,-340,-2,1,72,-3441,-10805,1,1415,2978,3008,1296
2371,340,-119,-430,89,30,340,-300,-2,1,72,-3411,-10924,1,1415,2978,3008,1296
2379,300,-122,-358,57,31,300,-240,-5,2,72,-3380,-10924,1,1418,2977,3008,1296
2387,280,-122,-314,33,31,280,-200,-5,2,72,-3349,-10924,1,1418,2977,3008,1296
2397,240,-122,-276,35,31,240,-180,-3,1,72,-3318,-11046,1,1418,2977,3008,1296
2409,220,-122,-232,11,31,220,-140,-3,1,72,-3287,-11168,1,1418,2977,3008,1296
2421,180,-122,-177,-4,31,180,-100,-3,1,72,-3256,-11290,1,1418,2977,3008,1296
2431,140,-122,-122,-19,31,140,-60,0,0,72,-3225,-11412,1,1418,2977,3008,1296
2439,120,-122,-95,-26,31,120,-40,0,0,72,-3194,-11534,1,1418,2977,3008,1296
2447,100,-122,-85,-16,31,100,-40,0,0,72,-3163,-11656,1,1418,2977,3008,1296
2457,80,-122,-58,-23,31,80,-20,0,0,72,-3132,-11778,1,1418,2977,3008,1296
2469,40,-122,-20,-20,29,40,0,0,-2,72,-3103,-11900,1,1418,2979,3008,1296
2481,20,-122,-10,-10,29,20,0,0,-2,72,-3074,-12022,1,1418,2979,3008,1296
2491,20,-122,-10,-10,29,20,0,0,-2,72,-3045,-12144,1,1418,2979,3008,1296
2499,20,-121,-10,-10,25,20,0,1,-6,72,-3045,-12265,1,1417,2983,3008,1296
2507,20,-121,-10,-10,25,20,0,1,-6,72,-3045,-12386,1,1417,2983,3008,1296
